id_annonce,property_type,approximate_latitude,approximate_longitude,city,postal_code,size,floor,land_size,energy_performance_value,energy_performance_category,ghg_value,ghg_category,exposition,nb_rooms,nb_bedrooms,nb_bathrooms,nb_parking_places,nb_boxes,nb_photos,has_a_balcony,nb_terraces,has_a_cellar,has_a_garage,has_air_conditioning,last_floor,upper_floors
35856327,appartement,49.04907992073793,2.105194774860525,pontoise,95300,8831.0,,,155.0,D,36.0,E,,4.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35862559,maison,45.95474020159692,1.203679327662282,saint-jouvent,87510,208.0,,2600.0,120.0,C,36.0,E,,5.0,4.0,,0.0,0.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35999115,maison,43.45889044086112,3.748538813555202,frontignan,34110,100.0,,78.0,82.0,B,19.0,C,,4.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35817825,maison,48.84266185133352,2.299858520603289,paris-15eme,75015,101.0,,,110.0,C,25.0,D,,5.0,3.0,,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36066565,appartement,48.883714005252834,2.38365751319027,paris-19eme,75019,48.0,1.0,,,,,,,3.0,2.0,,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35834045,appartement,43.49930910030449,6.936135965447779,theoule-sur-mer,06590,55.0,,,175.0,D,6.0,B,Sud-Est,2.0,1.0,1.0,0.0,1.0,20.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
35768573,maison,43.36192127908605,-1.710946701014371,urrugne,64122,142.0,,,,,,,Ouest,6.0,5.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36045049,appartement,48.862282558238654,2.495205634052571,rosny-sous-bois,93110,808.0,,,,,,,,4.0,3.0,,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35998999,propriété,44.58047217407865,-0.3023925302565338,preignac,33210,350.0,,15000.0,157.0,D,2.0,A,,12.0,5.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36042341,maison,48.51548989653015,-2.786426001910354,saint-brieuc,22000,147.0,,439.0,204.0,D,34.0,D,,5.0,6.0,1.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36034105,appartement,47.80308776909187,1.0728984251242717,vendome,41100,7747.0,2.0,,,,,,,3.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35862307,divers,49.07781679783145,2.505905724132433,marly-la-ville,95670,96.0,,,151.0,D,21.0,D,,4.0,3.0,,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35738297,maison,50.31694701978597,3.347567425611728,lourches,59156,102.0,,229.0,200.0,D,16.0,C,,5.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
35805297,maison,48.36869311457591,-3.739416866124779,huelgoat,29690,110.0,,335.0,106.0,C,31.0,D,,5.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35997109,maison,49.324879385152016,1.0998652578216177,tourville-la-riviere,76410,78.0,,110.0,230.0,D,26.0,D,Nord-Est,4.0,2.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35734739,duplex,48.94836678648148,2.8590181773009093,meaux,77100,73.0,,,60.0,B,8.0,B,Sud,4.0,3.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36003641,terrain,45.42465345099853,5.746687387928461,les-echelles,73360,589.0,,589.0,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36037549,propriété,46.78553287066333,0.8115133080932467,la-roche-posay,86270,410.0,,1800.0,,,,,Est-Ouest,16.0,8.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36013375,maison,49.43157441574887,2.081262383163926,beauvais,60000,115.0,,300.0,,,,,Est-Ouest,5.0,4.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35793273,appartement,50.40446968056696,1.598257756267977,berck,62600,41.0,,,,,,,,2.0,1.0,,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35765901,maison,43.17963596214032,2.7822439618481534,luc-sur-orbieu,11200,254.0,,1035.0,,,,,Sud,10.0,7.0,1.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36017929,appartement,43.83189139904674,4.338725378699582,nimes,30000,60.0,1.0,,124.0,C,29.0,D,Est-Ouest,3.0,2.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35830283,divers,43.60541195512808,1.441516190687713,toulouse,31000,65.0,,,,,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36053773,appartement,46.24300972146063,6.012158349494092,saint-genis-pouilly,01630,10592.0,55.0,,46.0,A,11.0,C,,4.0,3.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35878969,appartement,48.92003358800999,2.2548252674563733,colombes,92700,66.0,,,230.0,D,12.0,C,,3.0,2.0,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35798657,appartement,41.92098557987926,8.73745941320205,ajaccio,20090,7097.0,6.0,,,,,,Ouest,3.0,2.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35964789,maison,46.97299916961634,3.2658631463111143,sauvigny-les-bois,58160,630.0,,,199.0,D,46.0,E,Ouest,5.0,4.0,1.0,1.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36021081,appartement,48.8663438009899,2.5663404977443056,gournay-sur-marne,93460,45.0,,,180.0,D,7.0,B,,2.0,1.0,1.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35831931,appartement,43.60329504147847,7.011421519648862,mougins,06250,85.0,3.0,,163.0,D,7.0,B,Sud-Ouest,4.0,3.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
35824247,maison,48.999545386326055,7.008906861599528,sarralbe,57430,150.0,,,,,,,,6.0,5.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35800669,maison,43.11050943606658,6.115935165379655,hyeres,83400,15245.0,,578.0,141.0,C,6.0,B,,5.0,3.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35975917,appartement,43.60973087437496,1.4410549573999312,toulouse,31200,29.0,2.0,,164.0,D,7.0,B,,1.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30695895,appartement,44.16979194014023,4.617227763579146,bagnols-sur-ceze,30200,93.0,6.0,,188.0,D,32.0,D,Ouest,4.0,3.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35919751,divers,43.19477116762916,5.803084314112954,le-beausset,83330,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35854017,maison,48.92142844058515,2.555433631269364,livry-gargan,93190,110.0,,383.0,280.0,E,50.0,E,,6.0,4.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36016409,appartement,48.9184761077368,2.5554945442025327,livry-gargan,93190,45.0,,,52.0,B,6.0,B,,2.0,1.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36062257,villa,44.04247795660823,5.047857960186112,carpentras,84200,288.0,,2500.0,81.0,B,24.0,D,Sud-Est,10.0,5.0,1.0,1.0,0.0,18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36058353,divers,44.84361063395593,-0.5643761417383804,bordeaux,33000,121.0,,,,,,,,4.0,1.0,,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36048355,maison,49.00760453191936,2.375736827017502,saint-brice-sous-foret,95350,90.0,,263.0,230.0,D,69.0,F,,5.0,4.0,,0.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35845733,appartement,48.63556678032464,2.444887963056943,evry,91000,34.0,4.0,,,,,,,2.0,1.0,1.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
36025773,maison,48.28718151708977,0.6184543465665429,saint-germain-de-la-coudre,61130,105.0,,1494.0,406.0,F,13.0,C,,5.0,3.0,,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35782189,appartement,44.16386008294865,4.6173280784075095,bagnols-sur-ceze,30200,110.0,1.0,,80.0,B,18.0,C,Sud,4.0,3.0,1.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35823715,appartement,43.08389447752632,5.838739532588965,six-fours-les-plages,83140,90.0,1.0,,,,,,Sud,4.0,3.0,1.0,0.0,0.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
36060093,appartement,48.84561584774243,2.18221381423881,garches,92380,65.0,,125.0,55.0,B,8.0,B,,3.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35998213,viager,43.96412168420472,4.79964280761917,villeneuve-les-avignon,30400,83.0,,,147.0,C,17.0,C,,4.0,2.0,,1.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
36062925,appartement,48.86650353980557,2.401974757376976,paris-20eme,75020,67.0,3.0,,182.0,D,5.0,A,Sud-Ouest,3.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35995711,appartement,43.45116846336217,3.752848798239912,frontignan,34110,80.0,1.0,,,,,,,4.0,3.0,,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36061533,appartement,48.85599126643802,2.275901346172762,paris-16eme,75016,120.0,2.0,,,,,,,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35801963,appartement,46.36602686116438,6.492290253652964,thonon-les-bains,74200,31.0,,,206.0,D,8.0,B,,1.0,,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35772577,appartement,48.96746905589567,2.5365434065223704,villepinte,93420,82.0,,,,,,,,4.0,3.0,1.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35997921,appartement,43.3415590066763,5.387462197559672,marseille-14eme,13014,63.0,8.0,,,,,,,3.0,2.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
35897205,maison,44.7462746544096,5.372766826025941,die,26150,207.0,,2300.0,229.0,D,23.0,D,Sud,6.0,5.0,1.0,0.0,1.0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
35835335,maison,48.85785014922282,2.699240323575733,bussy-saint-georges,77600,103.0,,168.0,,,,,,4.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35999645,appartement,46.29660600614477,-0.9935821860544896,marans,17230,140.0,,,,,,,,6.0,3.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35800323,appartement,49.30164887900894,1.022733935573518,saint-aubin-les-elbeuf,76410,5609.0,,,,,,,,3.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35775847,maison,44.013024447299244,4.017335303870792,massillargues-attuech,30140,260.0,,3630.0,131.0,C,6.0,B,,10.0,6.0,1.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35878813,appartement,43.60882598096779,3.885342544687537,montpellier,34000,60.0,3.0,,,,,,,3.0,2.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36028819,appartement,48.86719834122489,2.5164864093496053,neuilly-plaisance,93360,40.0,,,,,,,,2.0,1.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35867805,appartement,43.69067014466979,7.340130298340274,beaulieu-sur-mer,06310,698.0,1.0,,,,,,,3.0,2.0,,0.0,0.0,7.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
36035501,maison,46.03874621339244,0.4457550411213735,benest,16350,90.0,,239.0,,,,,,6.0,5.0,1.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
36045101,appartement,48.92327436074589,2.247343631679945,colombes,92700,62.0,,,,,,,,3.0,2.0,,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35800471,maison,45.80706931627506,4.8550629874588775,caluire-et-cuire,69300,182.0,,530.0,60.0,B,3.0,A,,6.0,4.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35876499,maison,48.69443055766987,6.232934504420167,essey-les-nancy,54270,145.0,,312.0,163.0,D,38.0,E,,6.0,4.0,1.0,1.0,1.0,30.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35867067,appartement,45.80785997434526,6.513771791312989,notre-dame-de-bellecombe,73590,1267.0,1.0,,,,,,Sud,4.0,3.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35757197,propriété,43.93102594945758,-0.0714277557182478,cazaubon,32150,125.0,,135000.0,,,,,Sud,3.0,2.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35812991,appartement,43.6978538718488,7.252858779982602,nice,06100,6823.0,,,,,,,,4.0,3.0,1.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35891343,appartement,48.82556759418567,2.275767492310263,issy-les-moulineaux,92130,453.0,1.0,,,,,,,3.0,2.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35785135,maison,46.95087417320837,-0.8813006362963146,saint-laurent-sur-sevre,85290,92.0,,546.0,400.0,F,33.0,D,,5.0,3.0,1.0,0.0,1.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36029687,appartement,48.92272898383746,2.241626038517558,colombes,92700,82.0,2.0,,,,,,,4.0,3.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35909465,appartement,48.83233440127827,2.331374940668082,paris-14eme,75014,69.0,1.0,,206.0,D,6.0,B,,3.0,2.0,1.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35808251,maison,46.067026988443885,-1.0830065983760002,chatelaillon-plage,17340,134.0,,351.0,,,,,Sud-Ouest,7.0,4.0,1.0,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35785235,maison,44.71684175957098,4.304579865667054,juvinas,07600,188.0,,1200.0,,,,,Sud,10.0,6.0,1.0,0.0,0.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
36052481,appartement,48.30505236637425,4.0849938581212974,troyes,10000,15.0,,,,,,,Sud,1.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35996865,appartement,48.88176059283992,2.233728348898573,puteaux,92800,70.0,2.0,,,,,,,3.0,2.0,,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
36048587,appartement,48.86890270928404,2.416415701502144,bagnolet,93170,88.0,4.0,,72.0,B,14.0,C,,3.0,2.0,,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35815707,maison,48.68236436019352,2.5372253676986114,boussy-saint-antoine,91800,140.0,,640.0,163.0,D,7.0,B,,6.0,4.0,,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35901329,divers,48.86081951595556,2.346404680647952,paris-3eme,75003,148.0,,,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35900487,viager,48.8450613636284,2.2941554828601034,paris-15eme,75015,34.0,,,,,,,,2.0,1.0,,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35911437,maison,43.33812088128463,5.483000659186211,allauch,13190,128.0,,1846.0,330.0,E,20.0,C,,5.0,4.0,,0.0,1.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36030289,maison,46.96642257127777,-0.2140585882604221,thouars,79100,75.0,,173.0,256.0,E,,,,4.0,2.0,,0.0,0.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35800811,maison,43.48631085907665,-1.537965054027408,anglet,64600,223.0,,590.0,133.0,C,,,,7.0,4.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35734011,maison,44.21281548830349,4.802344747998229,uchaux,84100,206.0,,4641.0,,,,,Sud-Ouest,8.0,4.0,1.0,0.0,1.0,12.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35879397,appartement,43.60000809259488,1.4394729172250735,toulouse,31000,84.0,6.0,,,,,,,4.0,3.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
36045475,appartement,48.83678660832666,2.552222374535136,villiers-sur-marne,94350,7848.0,1.0,,,,,,,4.0,3.0,,1.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35812899,appartement,43.56347776016005,4.084742243219077,la-grande-motte,34280,110.0,,,,,,,,4.0,3.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36004357,maison,49.41589031258128,2.8240342981638222,compiegne,60200,140.0,,359.0,224.0,D,52.0,E,,5.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
30363665,duplex,45.05084832634987,5.053318456351628,romans-sur-isere,26100,110.0,1.0,,173.0,D,40.0,E,,6.0,4.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35902383,villa,43.45150071540664,6.678057322674462,puget-sur-argens,83480,268.0,,4500.0,66.0,B,2.0,A,Sud,5.0,4.0,1.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
36018367,appartement,43.537662122098354,3.936573486289666,palavas-les-flots,34250,75.0,,,165.0,D,8.0,B,Ouest,3.0,2.0,1.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35793535,appartement,49.9026049542822,2.306008638641724,amiens,80000,59.0,4.0,,,,,,Est,3.0,2.0,,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35956891,maison,45.83391408683786,1.2640143859765935,limoges,87000,113.0,,79.0,136.0,C,31.0,D,,5.0,4.0,1.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35794909,terrain,48.74974299812209,-2.979553001914018,plouezec,22470,396.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35745483,appartement,48.85447937691527,2.1463182116237296,la-celle-saint-cloud,78170,69.0,1.0,,223.0,D,52.0,E,,3.0,2.0,,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36020963,appartement,48.83963333508134,2.474915898301761,nogent-sur-marne,94130,13502.0,,150.0,224.0,D,13.0,C,,5.0,3.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35855761,appartement,50.19174849025364,1.4853337492242702,cayeux-sur-mer,80410,46.0,,,268.0,E,14.0,C,,,1.0,,0.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35826205,appartement,48.64643693201145,1.833656146269311,rambouillet,78120,4512.0,1.0,,,,,,Sud,2.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36020949,appartement,48.832251249028594,2.484191928587963,nogent-sur-marne,94130,5359.0,,,286.0,E,67.0,F,,3.0,2.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36048155,maison,48.79086080952097,1.590841842793813,houdan,78550,94.0,,171.0,166.0,D,8.0,B,,4.0,3.0,,0.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34058407,maison,50.297130379073295,3.369518418544451,douchy-les-mines,59282,87.0,,125.0,211.0,D,37.0,E,Nord-Ouest,4.0,3.0,1.0,1.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35802497,appartement,43.562384071064194,3.884814669335368,lattes,34970,60.0,1.0,,120.0,C,5.0,A,,3.0,2.0,1.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35819275,appartement,48.6309017629544,2.45034220628169,evry,91000,76.0,2.0,,62.0,B,,,,4.0,3.0,1.0,1.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
35953739,appartement,46.357129672393846,6.13243760947564,divonne-les-bains,01220,85.0,,,,,,,,4.0,3.0,,1.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
35829235,maison,48.931295360689646,2.299571384696216,gennevilliers,92230,19614.0,,235.0,,,,,,6.0,4.0,1.0,1.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36059495,maison,48.88417871065998,2.155884997835003,chatou,78400,70.0,,300.0,,,,,,4.0,3.0,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36010901,appartement,43.416029931131,6.762470938118303,saint-raphael,83700,7353.0,55.0,,,,,,Ouest,3.0,2.0,,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
35798561,maison,43.71377056722132,2.69797956209545,lacaune,81230,160.0,,400.0,162.0,D,36.0,E,Sud,9.0,5.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
36019977,appartement,43.36855409879229,-1.78481706364138,hendaye,64700,22.0,2.0,,197.0,D,46.0,E,Sud,1.0,,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35956977,maison,45.38755642910244,0.2915582945640161,nanteuil-auriac-de-bourzac,24320,132.0,,,181.0,D,54.0,E,,6.0,5.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36042411,terrain,43.6749656531867,-0.8632768235004602,poyartin,40380,900.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31404735,maison,47.275661552597306,-1.7860596132927786,saint-etienne-de-montluc,44360,92.0,,1080.0,,,,,,3.0,2.0,,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35846253,divers,43.30615806324177,3.471515632409984,le-cap-d'agde,34300,31.0,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36047869,appartement,43.60965463468523,3.8709559265983113,montpellier,34070,38.0,,,,,,,,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35855691,appartement,46.15324012022492,6.667105424442429,les-gets,74260,91.0,,,,,,,,,3.0,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36029571,appartement,43.136454326754986,6.360703777922726,le-lavandou,83980,5899.0,,,,,,,,3.0,2.0,,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
35816169,divers,50.06420376185261,1.601548418362282,feuquieres-en-vimeu,80210,160.0,,,,,,,,,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35849349,appartement,43.66945932499198,7.182981158543078,saint-laurent-du-var,06700,64.0,2.0,,152.0,D,35.0,D,,4.0,2.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35888937,appartement,48.84901782219613,2.684125780801367,bussy-saint-martin,77600,51.0,2.0,,,,,,Sud-Ouest,2.0,1.0,,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31374227,maison,43.82962932105748,4.347646949608147,nimes,30900,125.0,,1030.0,,,,,,5.0,4.0,1.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35867069,appartement,45.86388463921323,6.618233477211387,megeve,74120,8241.0,,,543.0,G,34.0,D,Sud,4.0,2.0,1.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
36040159,appartement,48.82590129762033,2.311424767604441,montrouge,92120,46.0,3.0,,229.0,D,10.0,B,Est,2.0,1.0,1.0,1.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
36040589,appartement,48.89550026510564,2.309952930746834,clichy,92110,818.0,5.0,,,,,,Nord-Est,4.0,3.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
